子供, 10
返す, 10
自覚, 10
実感, 10
ゆっくり, 10
エピローグ, 10
繫い, 10
勝手, 10
登録, 10
さすが, 10
流石, 10
諦める, 10
自体, 10
ペン, 10
コミュニケーション, 10
既読, 10
対面, 10
ドリンク, 10
階, 10
試験, 10
勢い, 10
予約, 10
全体, 10
設定, 10
一口, 10
チェック, 10
技術, 10
真面目, 10
汗, 10
服, 10
本好き, 10
夜中, 10
準備, 10
ふん, 10
ファン, 10
打ち合わせ, 10
子猫, 10
過去, 10
納得, 10
集, 10
妹, 10
勘違い, 10
前置き, 10
認める, 10
出掛ける, 10
彼氏, 10
ふふふ, 10
アドバイス, 10
無視, 10
サンダル, 10
別れ, 10
利用, 10
方法, 10
ファイル, 10
岬, 10
取っ, 9
なるほど, 9
成る程, 9
強く, 9
作り, 9
著, 9
早く, 9
立ち, 9
あはは, 9
望む, 9
勝ち, 9
戻す, 9
さらに, 9
更に, 9
探す, 9
お前, 9
御前, 9
まず, 9
先ず, 9
取り出す, 9
短く, 9
困っ, 9
でしょ, 9
話し掛ける, 9
えっと, 9
珍しい, 9
食べる, 9
作っ, 9
わずか, 9
僅か, 9
頰, 9
頬, 9
すぎる, 9
固い, 9
連れ, 9
うつむい, 9
或る, 9
わがまま, 9
我が儘, 9
セリフ, 9
台詞, 9
頼む, 9
聞き, 9
繰り返す, 9
零す, 9
会い, 9
マンガ, 9
漫画, 9
続き, 9
話せ, 9
何方, 9
権利, 8
会社, 8
匂い, 8
遠く, 8
壇上, 8
乗る, 8
並ぶ, 8
立ち読み, 8
星, 8
付か, 8
たって, 8
特別, 8
表現, 8
指, 8
目的, 8
思い出, 8
求める, 8
美しく, 8
抱い, 8
自室, 8
大した, 8
着る, 8
終え, 8
立っ, 8
近く, 8
そわそわ, 8
外, 8
若い, 8
教壇, 8
代, 8
青年, 8
挨拶, 8
出席, 8
番号, 8
範囲, 8
やる, 8
よー, 8
サイン, 8
番組, 8
交わす, 8
最少, 8
番, 8
サイズ, 8
読み返す, 8
無数, 8
あっさり, 8
見つけ, 8
落ちる, 8
やや, 8
孤独, 8
過ごし, 8
見上げ, 8
切る, 8
思考, 8
テンポ, 8
回っ, 8
失敗, 8
繊細, 8
髪飾り, 8
昭和, 8
せめて, 8
細かい, 8
静か, 8
カウンター, 8
ひどい, 8
単純, 8
得, 8
穏やか, 8
仕事, 8
喜ぶ, 8
耳, 8
懸命, 8
どんどん, 8
タイミング, 8
通話, 8
九, 8
関わり, 8
避ける, 8
連絡, 8
つき, 8
正直, 8
先輩, 8
腰掛け, 8
かまわ, 8
うなずく, 8
詰まる, 8
話しかけ, 8
対し, 8
仕様, 8
約束, 8
箱, 8
後ろ, 8
至近, 8
瞬間, 8
抜け, 8
抜ける, 8
練習, 8
びくり, 8
口元, 8
衝撃, 8
興奮, 8
出さ, 8
素直, 8
評価, 8
熱心, 8
続編, 8
不満, 8
冊, 8
伝え, 8
晩, 8
書, 8
どれ, 8
児童, 8
悩み, 8
やつ, 8
奴, 8
ふらふら, 8
断る, 8
規模, 8
絶対, 8
今更, 8
通知, 8
年季, 8
フォロー, 8
積極, 8
ほんと, 8
登校, 8
多い, 8
入り口, 8
身長, 8
仕方無い, 8
大変, 8
揺れる, 8
浮かべ, 8
屈託, 8
メンバー, 8
割と, 8
簡単, 8
歌っ, 8
しばらく, 8
暫く, 8
受け取る, 8
応援, 8
リアクション, 8
途中, 8
得意, 8
ティー, 8
スカート, 8
回, 8
タイム, 8
満足, 8
秘密, 8
食事, 8
打ち解ける, 8
否定, 8
古い, 8
底, 8
優秀, 8
自宅, 8
以前, 8
美人, 8
現代, 8
満点, 8
疑問, 8
メール, 8
コンプレックス, 8
大人, 8
存外, 8
茶, 8
鈍い, 8
微笑む, 8
鼓動, 8
余裕, 8
常, 8
大好き, 8
真っ黒, 8
責任, 8
本心, 8
複雑, 8
記憶, 8
苦い, 8
もらい, 8
拭う, 8
ブーム, 8
きり, 8
好感, 8
ノック, 8
菓子, 8
告白, 8
体温, 8
立ち上がる, 8
先日, 8
予想, 8
門, 8
告げる, 8
室, 8
紙, 8
メニュー, 8
ワイン, 8
グラス, 8
呼吸, 8
事件, 8
発行, 8
進める, 7
足り, 7
足りる, 7
掛かる, 7
遠い, 7
ソファ, 7
ソファー, 7
残す, 7
さっそく, 7
早速, 7
よろしく, 7
宜しく, 7
各自, 7
走る, 7
薄暗い, 7
うれし, 7
アキラ, 7
決める, 7
ヘアー, 7
ヘア, 7
描か, 7
ちょうど, 7
丁度, 7
ねえ, 7
向き, 7
其方, 7
へー, 7
やりとり, 7
遣り取り, 7
回す, 7
悩む, 7
かー, 7
装う, 7
言い合う, 7
輝く, 7
食べ, 7
